Rnd,Pick,Tm,Player,Pos,Age,Career Length,AP1,PB,Years Starter,CarAV,DrAV,NFL G,NFL Cmp,NFL Att,NFL Pass Yds,NFL Pass TD,NFL Int,NFL Rush Att,NFL Rush Yds,NFL Rush TD,NFL Rec,NFL Rec Yds,NFL Rec TD,College/Univ,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,NCAA G,NCAA Cmp,NCAA Pass Att,NCAA Pass Pct,NCAA Pass Yds,NCAA Pass Y/A,NCAA Pass AY/A,NCAA Pass TD,NCAA Pass Int,NCAA Pass Rate,NCAA Rec,NCAA Rec Yds,NCAA Avg,NCAA Rec TD,NCAA Rush Att,NCAA Rush Yds,NCAA Rush Avg,NCAA RushTD
2,41,DEN,Tatum Bell,RB,23,5,0,0,1,22,20,54,,,,,,569,2773,16,71,419,0,Oklahoma St.,71,212,4.37,25,38.5,117,,,41,0,,,,,,,,,36,258,7.2,2,634,3409,5.4,34
2,43,DAL,Julius Jones,RB,23,7,0,0,5,38,29,94,,,,,,1280,5068,22,150,1029,2,Notre Dame,70,214,4.47,,37.5,121,4.16,7.96,45,0,,,,,,,,,28,250,8.9,1,634,3018,4.8,26
2,50,NOR,Devery Henderson,WR,22,9,0,0,6,36,36,124,,,,,,18,119,1,245,4377,20,LSU,71,198,4.41,,,,,,42,0,,,,,,,,,81,1335,16.5,19,83,433,5.2,3
2,54,DEN,Darius Watts,WR,22,2,0,0,0,4,4,22,,,,,,5,33,0,33,407,1,Marshall,73,188,4.45,,,,,,47,0,,,,,,,,,272,4031,14.8,47,21,188,9,0
2,55,JAX,Greg Jones,RB,23,10,0,0,4,9,9,131,,,,,,272,913,10,73,471,3,Florida St.,73,249,4.55,,,,,,44,0,,,,,,,,,24,153,6.4,0,480,2535,5.3,23
2,62,CAR,Keary Colbert,WR,22,8,0,0,3,14,13,75,,,,,,1,6,0,130,1629,8,USC,73,207,4.5,,,,,,50,0,,,,,,,,,207,2964,14.3,19,6,74,12.3,1
3,77,SFO,Derrick Hamilton,WR,22,1,0,0,0,0,0,2,,,,,,,,,0,0,0,Clemson,75,196,4.54,,,,,,37,0,,,,,,,,,163,2218,13.6,15,42,340,8.1,2
3,78,CHI,Bernard Berrian,WR,23,8,0,0,5,33,14,109,,,,,,17,82,0,288,4122,24,Fresno St.,73,183,4.58,,38,128,4.21,7.34,46,0,,,,,,,,,191,2682,14,23,21,264,12.6,2
3,82,BAL,Devard Darling,WR,22,5,0,0,1,4,2,46,,,,,,,,,37,578,4,Washington St.,73,212,4.52,,37,129,,,30,0,,,,,,,,,106,1666,15.7,19,5,45,9,1
3,90,ATL,Matt Schaub,QB,23,10,0,2,7,69,2,143,2092,3271,24851,133,90,189,360,4,1,-6,0,Virginia,78,243,5.04,,30.5,110,4.66,7.65,40,716,1069,67,7502,7,7,56,26,138.4,,,,,,,,
